,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,creativecost,influencecost,threatcost,myscore
306,0,0,0,,,0,153366,0,0,0,0,0.0,0,1,3,0.5,1.5,0,Harrison,0.0,0,0,0.0,307,False,0.0,0,0,0,0,0,,45,0,0,0,153366.jpg,0.0,0,0,Reed,0.1,False,18.0,a,13,20,0.0,0,36,36,131,131,0.0,0.0,Reed,0,0.0,0.0,0.0,0.0
307,0,0,17,,,0,62399,0,0,0,0,94.5,0,564,3,2.2,3.2,2,Dusan,2.0,1,0,18.1,308,False,32.8,0,0,0,0,90,,75,0,0,0,62399.jpg,2.0,0,0,Tadic,5.5,False,11.0,a,13,20,54.0,2,896,896,14109,14109,0.3,0.3,Tadic,0,1.26,0.4373333333333333,0.72,2.4173333333333336
308,0,0,0,,,0,85654,0,0,0,0,0.0,0,183,3,0.9,1.9,0,Jordy,0.0,0,0,0.0,309,False,0.0,0,0,0,0,0,,50,0,0,0,85654.jpg,0.0,0,0,Clasie,0.1,False,4.0,a,13,20,0.0,0,26,26,317,317,0.0,0.0,Clasie,0,0.0,0.0,0.0,0.0
309,0,0,18,,,0,78056,0,0,0,0,5.3,0,239,3,0.5,1.5,2,Oriol,2.0,1,0,3.5,310,False,21.6,0,0,0,0,90,,45,0,0,0,78056.jpg,2.0,0,0,Romeu Vidal,0.2,False,14.0,a,13,20,8.0,2,205,205,299,299,0.4,0.4,Oriol Romeu,0,0.11777777777777777,0.48000000000000004,0.17777777777777778,0.7755555555555556
310,0,0,0,,,0,44683,0,0,0,0,0.0,0,56,3,1.8,2.8,0,Jay,0.0,0,0,0.0,311,False,0.0,0,0,0,0,0,,65,0,0,0,44683.jpg,0.0,0,0,Rodriguez,0.5,False,9.0,a,13,20,0.0,0,50,50,1606,1606,0.0,0.0,Rodriguez,0,0.0,0.0,0.0,0.0
311,0,0,14,,,0,132015,0,0,0,0,15.7,0,0,3,0.5,1.5,1,Pierre-Emile,1.0,0,0,3.1,312,False,6.2,0,0,0,0,36,,45,0,0,0,132015.jpg,1.0,0,0,Højbjerg,3.2,False,23.0,a,13,20,9.0,1,888,888,4126,4126,0.2,0.2,Højbjerg,0,0.34888888888888886,0.13777777777777778,0.2,0.6866666666666666
312,0,0,1,,,0,20452,0,0,0,0,13.8,0,435,4,1.5,2.5,2,Shane,2.0,1,0,2.3,313,False,0.0,0,0,0,0,82,,65,0,0,0,20452.jpg,2.0,0,0,Long,14.1,False,7.0,a,13,20,11.0,2,3604,3604,32925,32925,0.3,0.3,Long,0,0.2123076923076923,0.0,0.16923076923076924,0.38153846153846155
313,0,0,2,,,0,78356,0,0,0,0,1.0,0,32,4,1.5,2.5,1,Charlie,1.0,0,0,1.0,314,False,0.0,0,0,0,0,8,,65,0,0,0,78356.jpg,1.0,0,0,Austin,1.7,False,10.0,a,13,20,11.0,1,398,398,8345,8345,0.2,0.2,Austin,0,0.015384615384615385,0.0,0.16923076923076924,0.18461538461538463
314,0,0,7,,,0,1822,0,0,0,0,0.0,0,24,1,0.7,2.2,1,Shay,1.0,1,0,1.0,315,False,10.2,0,0,0,0,90,,45,0,0,0,1822.jpg,1.0,0,1,Given,0.4,False,24.0,a,14,110,0.0,1,414,414,293,293,0.2,0.2,Given,1,0.0,0.22666666666666666,0.0,0.22666666666666666
315,0,0,0,50.0,0.0,0,105666,0,0,0,0,0.0,0,341,1,0.9,0.0,0,Jack,0.0,0,0,0.0,316,False,0.0,0,0,0,0,0,Ankle injury - 50% chance of playing,50,0,0,0,105666.jpg,0.0,0,0,Butland,4.5,False,1.0,d,14,110,0.0,0,275,275,24514,24514,0.0,0.0,Butland,0,0.0,0.0,0.0,0.0
316,0,0,0,,,0,112316,0,0,0,0,0.0,0,31,1,0.7,2.2,0,Jakob,0.0,0,0,0.0,317,False,0.0,0,0,0,0,0,,45,0,0,0,112316.jpg,0.0,0,0,Haugaard,0.2,False,29.0,a,14,110,0.0,0,19,19,265,265,0.0,0.0,Haugaard,0,0.0,0.0,0.0,0.0
317,0,0,6,,,0,37869,0,0,0,0,0.3,0,176,2,1.2,2.7,1,Ryan,1.0,1,0,1.7,318,False,16.4,0,0,0,0,90,,50,0,0,0,37869.jpg,1.0,0,0,Shawcross,2.3,False,17.0,a,14,110,0.0,1,787,787,1844,1844,0.2,0.2,Shawcross,1,0.006,0.32799999999999996,0.0,0.33399999999999996
318,0,0,0,,,0,32318,0,0,0,0,0.0,0,14,2,0.0,1.5,0,Marc,0.0,0,0,0.0,319,False,0.0,0,0,0,0,0,,40,0,0,0,32318.jpg,0.0,0,0,Wilson,1.9,False,12.0,a,14,110,0.0,0,814,814,1997,1997,0.0,0.0,Wilson,0,0.0,0.0,0.0,0.0
319,0,0,0,,,0,50089,0,0,0,0,0.0,0,293,2,0.6,2.1,0,Geoff,0.0,0,0,0.0,320,False,0.0,0,0,0,0,0,,45,0,0,0,50089.jpg,0.0,0,0,Cameron,0.4,False,20.0,a,14,110,0.0,0,44,44,813,813,0.0,0.0,Cameron,0,0.0,0.0,0.0,0.0
320,0,0,15,,,0,39487,0,0,0,0,21.3,0,388,2,0.6,2.1,2,Erik,2.0,1,0,3.8,321,False,16.6,0,0,0,0,90,,45,0,0,0,39487.jpg,2.0,0,0,Pieters,5.6,False,3.0,a,14,110,0.0,2,1318,1318,4369,4369,0.4,0.4,Pieters,0,0.47333333333333333,0.36888888888888893,0.0,0.8422222222222222
321,0,0,0,,,0,61595,0,0,0,0,0.0,0,111,2,0.6,2.1,0,Marc,0.0,0,0,0.0,322,False,0.0,0,0,0,0,0,,45,0,0,0,61595.jpg,0.0,0,0,Muniesa,0.2,False,5.0,a,14,110,0.0,0,41,41,353,353,0.0,0.0,Muniesa,0,0.0,0.0,0.0,0.0
322,0,0,7,,,0,17997,0,0,0,0,15.7,0,107,2,0.6,2.1,1,Phil,1.0,1,0,3.1,323,False,6.8,0,0,0,0,90,,45,0,0,0,17997.jpg,1.0,0,0,Bardsley,0.2,False,2.0,a,14,110,8.0,1,109,109,119,119,0.2,0.2,Bardsley,1,0.34888888888888886,0.1511111111111111,0.17777777777777778,0.6777777777777778
323,0,0,12,,,0,69960,0,0,0,0,0.3,0,330,2,0.6,2.1,1,Philipp,1.0,1,0,2.8,324,False,17.4,0,0,0,0,90,,45,0,0,0,69960.jpg,1.0,0,0,Wollscheid,1.5,False,26.0,a,14,110,10.0,1,184,184,1302,1302,0.2,0.2,Wollscheid,1,0.006666666666666666,0.38666666666666666,0.2222222222222222,0.6155555555555555
324,0,0,0,50.0,50.0,0,9047,0,0,0,0,0.0,0,324,2,0.6,1.4,0,Glen,0.0,0,0,0.0,325,False,0.0,0,0,0,0,0,Thigh injury - 50% chance of playing,50,0,0,0,9047.jpg,0.0,0,0,Johnson,0.3,False,8.0,d,14,110,0.0,0,16,16,1069,1069,0.0,0.0,Johnson,0,0.0,0.0,0.0,0.0
325,0,0,0,,,0,155706,0,0,0,0,0.0,0,12,2,0.0,1.5,0,Dionatan do Nascimento,0.0,0,0,0.0,326,False,0.0,0,0,0,0,0,,40,0,0,0,155706.jpg,0.0,0,0,Teixeira,1.4,False,23.0,a,14,110,0.0,0,372,372,1472,1472,0.0,0.0,Teixeira,0,0.0,0.0,0.0,0.0
